item_id,title,category,type,level,description,keywords
1,Python Basics for AI,Programming,Course,Beginner,Learn Python syntax variables loops functions and clean coding basics for artificial intelligence projects,python programming basics functions loops variables beginner ai
2,Data Cleaning with Pandas,Data Preparation,Workshop,Beginner,Practice loading datasets handling missing values removing duplicates and preparing tabular data for analysis,pandas data cleaning missing values duplicates csv preprocessing
3,Exploratory Data Analysis,Data Analysis,Course,Beginner,Understand datasets using summaries grouping filtering charts and practical inspection techniques before modeling,eda data analysis statistics charts grouping filtering pandas
4,NumPy for Numerical Computing,Programming,Lab,Beginner,Use arrays numerical operations indexing and vectorized calculations for machine learning workflows,numpy arrays numerical computing indexing vectorization math
5,Machine Learning Fundamentals,Machine Learning,Course,Beginner,Learn supervised learning unsupervised learning model training evaluation features and common machine learning terms,machine learning supervised unsupervised features training evaluation
6,Content-Based Recommender Project,Recommendation System,Project,Intermediate,Build a recommendation engine using item features TF IDF vectorization and cosine similarity scores,content based recommender tfidf cosine similarity item features
7,TF-IDF Text Feature Extraction,Natural Language Processing,Workshop,Intermediate,Convert text documents into numerical feature vectors using term frequency inverse document frequency,tfidf text feature extraction vocabulary documents nlp
8,Cosine Similarity Lab,Recommendation System,Lab,Intermediate,Calculate similarity between vectors and use scores to find the closest matching items,cosine similarity vectors scores nearest items recommendation
9,Classification Model Practice,Machine Learning,Project,Intermediate,Train a classification model evaluate accuracy and understand predictions using structured features,classification model accuracy prediction features supervised learning
10,Regression Model Practice,Machine Learning,Project,Intermediate,Build regression models for numeric prediction and evaluate results with practical error metrics,regression numeric prediction error metrics supervised learning
11,Clustering Customer Segments,Machine Learning,Lab,Intermediate,Group similar users or items with clustering and inspect patterns in unlabeled datasets,clustering segments unsupervised groups patterns similarity
12,Matplotlib Visualization Studio,Data Visualization,Workshop,Beginner,Create line charts bar charts heatmaps and clean visual reports from project data,matplotlib visualization charts heatmap bar line reports
13,Model Evaluation Metrics,Machine Learning,Course,Intermediate,Study accuracy precision recall confusion matrix and score interpretation for machine learning models,evaluation metrics accuracy precision recall confusion matrix scores
14,Feature Engineering Essentials,Feature Engineering,Course,Intermediate,Create useful model features by combining cleaning transforming and selecting dataset columns,feature engineering transformation selection columns preprocessing
15,Text Preprocessing Basics,Natural Language Processing,Lab,Beginner,Clean lowercase tokenize and normalize text before applying natural language processing methods,text preprocessing lowercase tokenize normalize nlp cleaning
16,Movie Recommendation Case Study,Recommendation System,Case Study,Intermediate,Analyze a movie catalog and recommend similar movies based on descriptions genres and keywords,movie recommendation catalog genres descriptions keywords content based
17,Product Recommendation Case Study,Recommendation System,Case Study,Intermediate,Recommend similar products using product categories descriptions tags and customer-facing attributes,product recommendation categories descriptions tags attributes similarity
18,AI Project Presentation Skills,Career,Workshop,Beginner,Prepare project explanations workflow diagrams result summaries and viva answers for mentor evaluation,presentation viva workflow explanation summary mentor evaluation
19,GitHub Portfolio Project Setup,Career,Guide,Beginner,Organize project files README requirements screenshots and clean source code for a public portfolio,github portfolio readme requirements screenshots source code project structure
20,Data Science Interview Prep,Career,Course,Intermediate,Practice common data science questions about data cleaning model evaluation features and project communication,interview data science questions cleaning evaluation features communication
21,CSV Dataset Handling,Data Preparation,Lab,Beginner,Load inspect validate and export CSV files using beginner friendly Python data tools,csv dataset loading inspection validation export pandas
22,Similarity Score Interpretation,Recommendation System,Guide,Beginner,Explain recommendation confidence percentages similarity scores and why one item is close to another,similarity score confidence percentage explanation recommendation
23,Search and Spelling Match Utility,Programming,Lab,Beginner,Improve terminal applications with input validation close matching and helpful user messages,search spelling close matching validation terminal messages
24,Terminal UI Design with Python,Programming,Workshop,Beginner,Create colorful menus formatted tables loading messages and professional command line applications,terminal ui python menus tables colors loading application
25,End-to-End AI Mini Project,Project Management,Project,Intermediate,Combine dataset loading cleaning feature extraction model building visualization and final documentation,end to end ai project dataset cleaning features visualization documentation
26,Data Storytelling with Charts,Data Visualization,Course,Beginner,Use charts labels titles and readable summaries to communicate insights from data projects,data storytelling charts labels summaries insights visualization
27,Recommendation System Viva Guide,Recommendation System,Guide,Beginner,Explain content based filtering TF IDF matrix cosine similarity cold start and recommendation scores for viva,content based filtering tfidf matrix cosine similarity cold start viva
28,Beginner AI Workflow Checklist,Project Management,Guide,Beginner,Follow a structured workflow from dataset loading to final output validation and presentation,ai workflow checklist dataset output validation presentation beginner
29,Data Validation for Projects,Data Preparation,Workshop,Intermediate,Check missing values duplicates column names invalid input and clean errors before analysis,data validation missing values duplicates columns errors preprocessing
30,Portfolio README Writing,Career,Guide,Beginner,Write a professional README with overview objectives features setup structure screenshots and future improvements,readme documentation overview objectives setup screenshots improvements
